Timestamp,Source,Area,Severity,Console Stream,Message
"3/13/26, 10:05:47 AM",Console,Console,Error,stderr,"OSLOG-52F5263A-7E4A-47D7-98C5-D0DCAB103A08 7 80 L 13 {t:1773410747.786903,offset:0x1a74c4}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate _requestAbortedNotInitialized:](2192): <NSCloudKitMirroringDelegate: 0x771659340> - Never successfully initialized and cannot execute request '<NSCloudKitMirroringExportRequest: 0x7716232f0> 16F7496E-BE93-4C40-A239-5E7CDBA72AD3' due to error: Error Domain=NSCocoaErrorDomain Code=134407 ""Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 10:05:47 AM",Console,Console,Error,stderr,"OSLOG-52F5263A-7E4A-47D7-98C5-D0DCAB103A08 7 80 L 10 {t:1773410747.785344,offset:0x1a1584}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate resetAfterError:andKeepContainer:](589): <NSCloudKitMirroringDelegate: 0x771659340> - resetting internal state after error: Error Domain=NSCocoaErrorDomain Code=134407 ""Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 10:05:47 AM",Console,Console,Error,stderr,"Error Domain=NSCocoaErrorDomain Code=134407 ""Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request 'C2A514C4-9FB9-45F7-A6DD-AC6A75B40124' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 10:05:47 AM",Console,Console,Error,stderr,"OSLOG-52F5263A-7E4A-47D7-98C5-D0DCAB103A08 7 80 L f {t:1773410747.785203,tid:0x2d9b7,subsystem:""com.apple.coredata"",category:""CloudKit"",offset:0x1a7344,imgUUID:""2AEC49EA-6D54-31A7-A5CC-464FC045E850"",imgPath:""/System/Library/Frameworks/CoreData.framework/Versions/A/CoreData"",lines:2}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate _importFinishedWithResult:importer:](1392): (null): Import failed with error:"
"3/13/26, 10:05:46 AM",Console,Console,Error,stderr,"OSLOG-52F5263A-7E4A-47D7-98C5-D0DCAB103A08 7 80 L e {t:1773410746.704031,tid:0x2d9bc,type:""Error"",subsystem:""com.apple.cloudkit"",category:""CK"",offset:0x277550,imgUUID:""18CEB259-437C-381D-B8FB-A2A76E848CB2"",imgPath:""/System/Library/Frameworks/CloudKit.framework/Versions/A/CloudKit""}	Giving up waiting to register for remote notifications"
"3/13/26, 9:50:12 AM",Console,Console,Error,stderr,"OSLOG-09EAB9F0-4808-42F4-808B-4057F14C012E 7 80 L 15 {t:1773409812.173338,tid:0x28c2c,subsystem:""com.apple.TextInputUI"",category:""CursorUI"",offset:0x98fc,imgUUID:""BC41EEEA-5F1B-31A3-9573-93D5E207BA3A"",imgPath:""/System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/TextInputUIMacHelper""}	ViewBridge to RemoteViewService Terminated: Error Domain=com.apple.ViewBridge Code=18 ""(null)"" UserInfo={com.apple.ViewBridge.error.hint=this process disconnected remote view controller -- benign unless unexpected, com.apple.ViewBridge.error.description=NSViewBridgeErrorCanceled}"
"3/13/26, 9:49:34 AM",Console,Console,Error,stderr,"OSLOG-09EAB9F0-4808-42F4-808B-4057F14C012E 7 80 L 13 {t:1773409774.876284,offset:0x1a74c4}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate _requestAbortedNotInitialized:](2192): <NSCloudKitMirroringDelegate: 0xb7ce0d340> - Never successfully initialized and cannot execute request '<NSCloudKitMirroringExportRequest: 0xb7cdf72f0> 4F26AD26-C392-4302-9A01-92299607DA2B' due to error: Error Domain=NSCocoaErrorDomain Code=134407 ""Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 9:49:34 AM",Console,Console,Error,stderr,"OSLOG-09EAB9F0-4808-42F4-808B-4057F14C012E 7 80 L 10 {t:1773409774.873949,offset:0x1a1584}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate resetAfterError:andKeepContainer:](589): <NSCloudKitMirroringDelegate: 0xb7ce0d340> - resetting internal state after error: Error Domain=NSCocoaErrorDomain Code=134407 ""Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 9:49:34 AM",Console,Console,Error,stderr,"Error Domain=NSCocoaErrorDomain Code=134407 ""Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator."" UserInfo={NSLocalizedFailureReason=Request '7CCA8783-DBD6-4011-A8E5-B28E8DB08169' was cancelled because the store was removed from the coordinator.}"
"3/13/26, 9:49:34 AM",Console,Console,Error,stderr,"OSLOG-09EAB9F0-4808-42F4-808B-4057F14C012E 7 80 L f {t:1773409774.872360,tid:0x28f7f,subsystem:""com.apple.coredata"",category:""CloudKit"",offset:0x1a7344,imgUUID:""2AEC49EA-6D54-31A7-A5CC-464FC045E850"",imgPath:""/System/Library/Frameworks/CoreData.framework/Versions/A/CoreData"",lines:2}	CoreData+CloudKit: -[NSCloudKitMirroringDelegate _importFinishedWithResult:importer:](1392): (null): Import failed with error:"
"3/13/26, 9:49:33 AM",Console,Console,Error,stderr,"OSLOG-09EAB9F0-4808-42F4-808B-4057F14C012E 7 80 L e {t:1773409773.946510,tid:0x28f23,type:""Error"",subsystem:""com.apple.cloudkit"",category:""CK"",offset:0x277550,imgUUID:""18CEB259-437C-381D-B8FB-A2A76E848CB2"",imgPath:""/System/Library/Frameworks/CloudKit.framework/Versions/A/CloudKit""}	Giving up waiting to register for remote notifications"
"3/13/26, 9:40:48 AM",Console,Console,Error,stderr,"OSLOG-4656429A-A891-454C-9E01-D77F65BEF9DE 7 80 L 268 {t:1773409248.554209,tid:0x26106,type:""Error"",subsystem:null,category:null,offset:0x16be0,imgUUID:""541127CD-DCC7-398E-9D5F-E60E970BB70D"",imgPath:""/System/Library/PrivateFrameworks/UserManagement.framework/Versions/A/UserManagement""}	(501) personaAttributesForPersonaType for type:0 failed with error Error Domain=NSPOSIXErrorDomain Code=1 ""Operation not permitted"""
"3/13/26, 9:39:36 AM",Console,Console,Warning,stdout,[Warning] [Import/Parsing] Duplicate dataset skipped file=File_260207_143756. cerva 30 14.7 mg tio2 zno2 combo after incubationspc.spc hash=2da50839ca79
"3/13/26, 9:39:36 AM",Console,Console,Warning,stderr,OSLOG-4656429A-A891-454C-9E01-D77F65BEF9DE 7 80 L 264 {t:1773409176.862848}	[Warning] [Import/Parsing] Duplicate dataset skipped file=File_260207_143756. cerva 30 14.7 mg tio2 zno2 combo after incubationspc.spc hash=2da50839ca79
"3/13/26, 9:39:36 AM",Instrumentation,Import/Parsing,Warning,,Duplicate dataset skipped file=File_260207_143756. cerva 30 14.7 mg tio2 zno2 combo after incubationspc.spc hash=2da50839ca79
